GoFreight Page Ranking Comparison: Jan-Jun 2025 (Monthly Avg) vs Dec 2025
Top 100 Pages by Jan-Jun 2025 Clicks

Rank,Original URL (Jan-Jun 2025),Current URL (Dec 2025),Jan-Jun Total,Jan-Jun Monthly Avg,Dec 2025 Clicks,Change vs Avg,% Change,Jan-Jun Cumulative %
60,www.gofreight.com/freight-forwarding-software,gofreight.com/freight-forwarding-software,14,18,+4,+28.6%
67,api.gofreight.com/,api.gofreight.com/,11,16,+5,+45.5%
74,www.gofreight.com/referral-program,gofreight.com/referral-program,11,14,+3,+27.3%
80,support.gofreight.com/hc/en-us,support.gofreight.com/hc/en-us,8,11,+3,+37.5%
84,www.gofreight.com/solutions/customer-portal,archive.gofreight.com/solutions/customer-portal,8,21,+13,+162.5%
NEW,N/A,support.gofreight.com/hc/en-us/articles/14378165476751-Check-Bond-Status,0,19,+19,NEW


KEY FINDINGS:

1. OVERALL DECLINE: -67% average drop across top 100 pages

2. URL MIGRATION ISSUE:
   - Glossary pages: www -> archive subdomain (28 pages affected)
   - Solutions pages: www -> archive subdomain (4 pages affected)
   - Blog pages: www stripped but stay on main domain

3. HOMEPAGE STABLE: Only page in top 10 with minimal decline (-1.4%)

4. CONTENT MASSACRE: DDP Incoterms (-99.9%) and SCAC Glossary (-99.5%) essentially disappeared

5. BRIGHT SPOTS:
   - Customer Portal: +162.5%
   - API docs: +45.5%
   - Support center: +37.5%
   - Freight forwarding software: +28.6%

6. CONCENTRATION: Top 10 pages = 70.5% of Jan-Jun traffic
